MAX IV 1.5 GeV ring,,,,,,,
Sliced magnet data,,,,,,,
,,,,L,Bending angle in deg,K,Sx
,,SQFo,SQFo_en,0.05,,5.856492,42.698155
,,,SQFo_m,0.1,,5.731083,45.14317
Mid point,,,SQFo_ex,0.05,,5.621627,42.45576
s [mm] =,,,,,,,
10,,DIP,bm14,0.02,0.00062,0.00834,
32.5,,,bm13,0.025,0.00096,0.00921,
57.5,,,bm12,0.025,0.01529,-0.02433,
82.5,,,bm11,0.025,0.12551,-0.42310,
107.5,,,bm10,0.025,0.24746,-0.88899,
132.5,,,bm9,0.025,0.35513,-1.36837,
157.5,,,bm8,0.025,0.37537,-1.35006,
182.5,,,bm7,0.025,0.37556,-1.34842,
207.5,,,bm6,0.025,0.37556,-1.34905,
232.5,,,bm5,0.025,0.37555,-1.34966,
257.5,,,bm4,0.025,0.37551,-1.34962,
282.5,,,bm3,0.025,0.37547,-1.34947,
345,,,bm2,0.1,1.50128,-1.34942,
445,,,bm1,0.1,1.50040,-1.34877,
545,,,bm0,0.1,1.49990,-1.34843,
645,,,b0,0.1,1.49993,-1.34840,
745,,,b1,0.1,1.50049,-1.34883,
845,,,b2,0.1,1.50145,-1.34952,
907.5,,,b3,0.025,0.37551,-1.34964,
932.5,,,b4,0.025,0.37556,-1.34990,
957.5,,,b5,0.025,0.37560,-1.34961,
982.5,,,b6,0.025,0.37562,-1.34929,
1007.5,,,b7,0.025,0.37562,-1.34863,
1032.5,,,b8,0.025,0.37543,-1.35042,
1057.5,,,b9,0.025,0.35519,-1.36974,
1082.5,,,b10,0.025,0.24751,-0.88998,
1107.5,,,b11,0.025,0.12554,-0.42244,
1132.5,,,b12,0.025,0.01536,-0.02013,
1157.5,,,b13,0.025,0.00098,0.00939,
1180,,,b14,0.02,0.00066,0.00858,
,,,,total bend,15.00000,deg,
,,SQFi,SQFi_en,0.05,,5.020906,26.461865
,,,SQFi_m,0.15,,4.994406,29.107157
,,,SQFi_m,0.15,,4.994406,29.107157
,,,SQFi_en,0.05,,5.020906,26.461865
